lemma,infinitive,ingform,prep+ingform,prep+infinitive,grammarbook
admit,61,515,319,0,gerund
agree,4619,17,99,0,infinitive
appear,10421,66,23,0,infinitive
appreciate,3,34,23,0,gerund
ask,4241,19,65,5,infinitive
avoid,2,2039,72,0,gerund
begin,19115,2837,635,3,both
celebrate,1,22,26,0,gerund
consider,1618,1273,78,0,gerund
contemplate,8,243,0,0,gerund
continue,11676,1037,81,0,both
decide,7940,5,101,0,infinitive
defer,2,6,3,0,gerund
delay,11,136,33,0,gerund
deny,3,378,4,0,gerund
detest,0,8,0,0,gerund
discontinue,1,7,0,1,gerund
discuss,5,83,16,0,gerund
dislike,1,91,3,0,gerund
dispute,4,2,1,0,gerund
endure,7,5,6,0,gerund
enjoy,8,1423,15,0,gerund
entail,0,134,9,0,gerund
escape,19,58,39,0,gerund
excuse,8,3,35,0,gerund
expect,10428,27,21,0,infinitive
explain,27,18,66,0,gerund
fancy,19,275,3,0,gerund
finish,19,832,56,0,gerund
forget,1012,25,25,0,both
forgive,1,0,162,0,gerund
hate,393,356,0,0,both
help,5372,729,412,1,both
hinder,0,2,0,0,gerund
hope,4786,13,12,1,infinitive
imagine,34,255,5,0,gerund
intend,7007,281,16,0,both
involve,55,1679,201,0,gerund
keep,36,5653,56,1,gerund
like,13063,1397,28,0,both
loathe,35,12,0,0,gerund
love,1121,446,4,0,both
mention,7,87,29,0,gerund
mind,73,745,2,0,gerund
miss,13,140,15,0,gerund
need,24138,1416,143,1,both
offer,1382,46,35,0,infinitive
pardon,0,0,8,0,gerund
plan,4075,26,96,2,infinitive
postpone,7,34,1,0,gerund
practice,4,2,2,0,gerund
prefer,2351,118,3,0,both
pretend,955,0,0,0,infinitive
prevent,1,153,370,1,gerund
promise,1514,7,3,0,infinitive
quit,14,41,6,0,gerund
recall,18,201,11,0,gerund
refuse,6598,13,6,1,infinitive
regret,58,124,1,0,both
remember,586,1362,41,0,both
report,1291,233,31,0,gerund
resent,0,64,2,0,gerund
resist,3,251,8,0,gerund
risk,3,543,3,0,gerund
seem,27446,59,61,0,infinitive
start,6165,7532,505,3,both
stop,572,3896,85,0,both
suggest,60,311,18,0,gerund
try,34137,1171,23,0,both
understand,402,24,60,1,gerund
want,44338,219,45,3,infinitive
