lemma,infinitive,ingform,prep+ingform,prep+infinitive
# list _lex_always_gerund
admit,61,515,319,NA
appreciate,3,34,23,NA
avoid,2,2039,72,NA
celebrate,1,22,26,NA
consider,1618,1273,78,NA
contemplate,8,243,NA,NA
defer,2,6,3,NA
delay,11,136,33,NA
deny,3,378,4,NA
detest,NA,8,NA,NA
discontinue,1,7,NA,1
discuss,5,83,16,NA
dislike,1,91,3,NA
dispute,4,2,1,NA
endure,7,5,6,NA
enjoy,8,1423,15,NA
entail,NA,134,9,NA
escape,19,58,39,NA
excuse,8,3,35,NA
explain,27,18,66,NA
fancy,19,275,3,NA
finish,19,832,56,NA
forgive,1,NA,162,NA
hinder,NA,2,NA,NA
imagine,34,255,5,NA
involve,55,1679,201,NA
keep,36,5653,56,1
loathe,35,12,NA,NA
mention,7,87,29,NA
mind,73,745,2,NA
miss,13,140,15,NA
pardon,NA,NA,8,NA
postpone,7,34,1,NA
practice,4,2,2,NA
prevent,1,153,370,1
quit,14,41,6,NA
recall,18,201,11,NA
report,1291,233,31,NA
resent,NA,64,2,NA
resist,3,251,8,NA
risk,3,543,3,NA
suggest,60,311,18,NA
understand,402,24,60,1
# list _lex_gerund_or_toinf_meaning_change
forget,1012,25,25,NA
help,5372,729,412,1
need,24138,1416,143,1
regret,58,124,1,NA
remember,586,1362,41,NA
stop,572,3896,85,NA
try,34137,1171,23,NA
# list _lex_gerund_or_toinf_no_meaning_change
begin,19115,2837,635,3
continue,11676,1037,81,NA
hate,393,356,NA,NA
like,13063,1397,28,NA
love,1121,446,4,NA
prefer,2351,118,3,NA
start,6165,7532,505,3
intend,7007,281,16,NA
# list _lex_always_toinf
agree,4619,17,99,NA
appear,10421,66,23,NA
ask,4241,19,65,5
decide,7940,5,101,NA
expect,10428,27,21,NA
hope,4786,13,12,1
need,24138,1416,143,1
offer,1382,46,35,NA
plan,4075,26,96,2
pretend,955,NA,NA,NA
promise,1514,7,3,NA
refuse,6598,13,6,1
seem,27446,59,61,NA
want,44338,219,45,3
